case,variant,timestep,full_radius_mean,full_radius_std,subspace,subspace_radius_mean,subspace_radius_std,ratio_mean,ratio_std,direction_metric_mean,direction_metric_std,match_condition,success_condition,notes
B_uniform_blend,original_s42,6,1.27054608,0.16492677,h3,0.34862006,0.18416516,0.27358925,0.13723156,0.06857529,0.72157639,na,all,subspace=h3;t=6;n_samples=2048;full_cos_mean=0.042561;h3_cos_mean=0.068575
B_uniform_blend,original_s42,6,1.27054608,0.16492677,h2,0.348515,0.16295314,0.27398765,0.12290408,0.06857529,0.72157639,na,all,subspace=h2;t=6;n_samples=2048;full_cos_mean=0.042561;h3_cos_mean=0.068575
B_uniform_blend,original_s42,6,1.27054608,0.16492677,block3_ang,0.74103272,0.19414842,0.58493304,0.14029863,0.06857529,0.72157639,na,all,subspace=block3_ang;t=6;n_samples=2048;full_cos_mean=0.042561;h3_cos_mean=0.068575
B_uniform_blend,original_s42,7,1.27335024,0.16814296,full,1.27335024,0.16814296,1.0,0.0,-0.04663054,0.71132416,na,all,subspace=full;t=7;n_samples=2048;full_cos_mean=0.017982;h3_cos_mean=-0.046631
B_uniform_blend,original_s42,7,1.27335024,0.16814296,h3,0.34073454,0.18711759,0.26584882,0.13701071,-0.04663054,0.71132416,na,all,subspace=h3;t=7;n_samples=2048;full_cos_mean=0.017982;h3_cos_mean=-0.046631
B_uniform_blend,original_s42,7,1.27335024,0.16814296,h2,0.35365963,0.16088581,0.2781176,0.12250046,-0.04663054,0.71132416,na,all,subspace=h2;t=7;n_samples=2048;full_cos_mean=0.017982;h3_cos_mean=-0.046631
B_uniform_blend,original_s42,7,1.27335024,0.16814296,block3_ang,0.74011546,0.1988191,0.5822587,0.13926645,-0.04663054,0.71132416,na,all,subspace=block3_ang;t=7;n_samples=2048;full_cos_mean=0.017982;h3_cos_mean=-0.046631
B_uniform_blend,original_s42,8,1.26719737,0.17038617,full,1.26719737,0.17038617,1.0,0.0,0.0416173,0.7096709,na,all,subspace=full;t=8;n_samples=2048;full_cos_mean=0.000599;h3_cos_mean=0.041617
B_uniform_blend,original_s42,8,1.26719737,0.17038617,h3,0.3465097,0.18439184,0.27183193,0.13472909,0.0416173,0.7096709,na,all,subspace=h3;t=8;n_samples=2048;full_cos_mean=0.000599;h3_cos_mean=0.041617
B_uniform_blend,original_s42,8,1.26719737,0.17038617,h2,0.35461894,0.16121888,0.27986127,0.12203677,0.0416173,0.7096709,na,all,subspace=h2;t=8;n_samples=2048;full_cos_mean=0.000599;h3_cos_mean=0.041617
