operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_c,transport,coupled,unresolved,98,0.098000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_c,transport,twist,1,506,0.506000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,2,263,0.263000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,3,116,0.116000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,4,47,0.047000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,5,28,0.028000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,6,13,0.013000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,7,7,0.007000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,8,4,0.004000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,12,2,0.002000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,9,1,0.001000,0.1790,bottleneck_fraction=0.1790,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=13; dominant_sync_type=tau_unresolved
T_c,transport,twist,unresolved,13,0.013000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_c,transport,lift,4,101,0.101000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,1,89,0.089000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,3,66,0.066000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,5,63,0.063000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
T_c,transport,lift,6,48,0.048000,0.5850,bottleneck_fraction=0.5850,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=195; dominant_sync_type=tau_unresolved
