model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
traj_router,first_token_recall_D4,4,accuracy,0.253,T_r*,0.0853,0.168,1.7396,cluster=transport
traj_router,first_token_recall_D4,4,mean_attn_weight,0.2496,aggregate_attn,0.2496,0.168,1.7396,step=0; dist_from_query=4
traj_router,first_token_recall_D4,4,mean_attn_weight,0.2499,aggregate_attn,0.2499,0.168,1.7396,step=1; dist_from_query=3
traj_router,first_token_recall_D4,4,mean_attn_weight,0.2502,aggregate_attn,0.2502,0.168,1.7396,step=2; dist_from_query=2
traj_router,first_token_recall_D4,4,mean_attn_weight,0.2503,aggregate_attn,0.2503,0.168,1.7396,step=3; dist_from_query=1
traj_router,first_token_recall_D8,8,accuracy,0.262,T_b,0.2707,0.044,1.6861,cluster=non_transport
traj_router,first_token_recall_D8,8,accuracy,0.262,T_x,0.0,0.044,1.6861,cluster=non_transport
traj_router,first_token_recall_D8,8,accuracy,0.262,T_y,0.6853,0.044,1.6861,cluster=non_transport
traj_router,first_token_recall_D8,8,accuracy,0.262,T_c,0.0,0.044,1.6861,cluster=transport
traj_router,first_token_recall_D8,8,accuracy,0.262,T_z',0.0026,0.044,1.6861,cluster=transport
traj_router,first_token_recall_D8,8,accuracy,0.262,T_r*,0.0414,0.044,1.6861,cluster=transport
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=0; dist_from_query=8
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=1; dist_from_query=7
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=2; dist_from_query=6
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=3; dist_from_query=5
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=4; dist_from_query=4
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=5; dist_from_query=3
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=6; dist_from_query=2
traj_router,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.044,1.6861,step=7; dist_from_query=1
traj_router,first_token_recall_D16,16,accuracy,0.245,T_b,0.8616,0.0251,1.7104,cluster=non_transport
traj_router,first_token_recall_D16,16,accuracy,0.245,T_x,0.1131,0.0251,1.7104,cluster=non_transport
traj_router,first_token_recall_D16,16,accuracy,0.245,T_y,0.0003,0.0251,1.7104,cluster=non_transport
traj_router,first_token_recall_D16,16,accuracy,0.245,T_c,0.0228,0.0251,1.7104,cluster=transport
traj_router,first_token_recall_D16,16,accuracy,0.245,T_z',0.0,0.0251,1.7104,cluster=transport
traj_router,first_token_recall_D16,16,accuracy,0.245,T_r*,0.0022,0.0251,1.7104,cluster=transport
traj_router,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0251,1.7104,step=0; dist_from_query=16
