case,sub_case,class_dist,timestep,D,eps_high,cos_metric,sin_metric,sin_abs,tan_metric,tan_unstable,n_samples,notes
B,adj_minus1,3,4,5,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=5;t=4
A,matched,0,5,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,2i_frame;dist=0;eps=1.0;D=5;t=5
B,adj_plus1,1,5,5,1.0,-8.0700279792012e-10,1.0,1.0,nan,1.0,1024,2i_frame;dist=1;eps=1.0;D=5;t=5
B,opposite,2,5,5,1.0,-1.0,-4.221953897598496e-09,5.91699844676441e-08,4.221953897598496e-09,0.0,1024,2i_frame;dist=2;eps=1.0;D=5;t=5
B,adj_minus1,3,5,5,1.0,3.911615920060285e-09,-1.0,1.0,nan,1.0,1024,2i_frame;dist=3;eps=1.0;D=5;t=5
C,success,0,0,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=5;t=0
C,failure,0,0,5,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=5;t=0;no_samples
C,success,0,1,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=5;t=1
C,failure,0,1,5,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=5;t=1;no_samples
C,success,0,2,5,1.0,1.0,0.0,0.0,0.0,0.0,1024,C;success;eps=1.0;D=5;t=2
C,failure,0,2,5,1.0,nan,nan,nan,nan,nan,0,C;failure;eps=1.0;D=5;t=2;no_samples
