case,D,timestep,match_flag,success_flag,full_radial,subspace_radial,radial_ratio,cos_metric,sin_metric,candidate_name,candidate_value,n_samples,notes
E_phase_evolution,32,4,1,0,3.162278,1.000000,0.316228,-0.032938,-0.092227,h3_h1_ratio,-0.422343,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,5,1,0,3.162278,1.000000,0.316228,-0.059289,-0.137022,step_cos,0.470356,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,5,1,0,3.162278,1.000000,0.316228,-0.059289,-0.137022,h1_cos,0.022738,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,5,1,0,3.162278,1.000000,0.316228,-0.059289,-0.137022,h3_h1_ratio,-2.607438,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,6,1,0,3.162278,1.000000,0.316228,-0.035573,-0.097497,step_cos,0.494071,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,6,1,0,3.162278,1.000000,0.316228,-0.035573,-0.097497,h1_cos,-0.073860,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,6,1,0,3.162278,1.000000,0.316228,-0.035573,-0.097497,h3_h1_ratio,-0.481630,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,7,1,0,3.162278,1.000000,0.316228,-0.034256,-0.098814,step_cos,0.511199,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,7,1,0,3.162278,1.000000,0.316228,-0.034256,-0.098814,h1_cos,0.084930,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,7,1,0,3.162278,1.000000,0.316228,-0.034256,-0.098814,h3_h1_ratio,-0.403341,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,8,1,0,3.162278,1.000000,0.316228,-0.055336,-0.104084,step_cos,0.530962,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,8,1,0,3.162278,1.000000,0.316228,-0.055336,-0.104084,h1_cos,0.004340,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,8,1,0,3.162278,1.000000,0.316228,-0.055336,-0.104084,h3_h1_ratio,-12.749595,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,9,1,0,3.162278,1.000000,0.316228,-0.048748,-0.079051,step_cos,0.500659,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,9,1,0,3.162278,1.000000,0.316228,-0.048748,-0.079051,h1_cos,-0.046627,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,9,1,0,3.162278,1.000000,0.316228,-0.048748,-0.079051,h3_h1_ratio,-1.045501,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,10,1,0,3.162278,1.000000,0.316228,-0.065876,-0.059289,step_cos,0.516469,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,10,1,0,3.162278,1.000000,0.316228,-0.065876,-0.059289,h1_cos,0.059685,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,10,1,0,3.162278,1.000000,0.316228,-0.065876,-0.059289,h3_h1_ratio,-1.103722,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,11,1,0,3.162278,1.000000,0.316228,-0.044796,-0.090909,step_cos,0.520422,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,11,1,0,3.162278,1.000000,0.316228,-0.044796,-0.090909,h1_cos,0.057653,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,11,1,0,3.162278,1.000000,0.316228,-0.044796,-0.090909,h3_h1_ratio,-0.776995,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,12,1,0,3.162278,1.000000,0.316228,-0.069829,-0.094862,step_cos,0.537549,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,12,1,0,3.162278,1.000000,0.316228,-0.069829,-0.094862,h1_cos,-0.079719,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,12,1,0,3.162278,1.000000,0.316228,-0.069829,-0.094862,h3_h1_ratio,-0.875931,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,13,1,0,3.162278,1.000000,0.316228,-0.071146,-0.090909,step_cos,0.587615,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,13,1,0,3.162278,1.000000,0.316228,-0.071146,-0.090909,h1_cos,0.020396,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,13,1,0,3.162278,1.000000,0.316228,-0.071146,-0.090909,h3_h1_ratio,-3.488201,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,14,1,0,3.162278,1.000000,0.316228,-0.104084,-0.118577,step_cos,0.558630,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,14,1,0,3.162278,1.000000,0.316228,-0.104084,-0.118577,h1_cos,-0.048559,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,14,1,0,3.162278,1.000000,0.316228,-0.104084,-0.118577,h3_h1_ratio,-2.143453,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,15,1,0,3.162278,1.000000,0.316228,-0.114625,-0.086957,step_cos,0.557312,759,eps=0.0; D=32; failure; phase_tracking
E_phase_evolution,32,15,1,0,3.162278,1.000000,0.316228,-0.114625,-0.086957,h1_cos,-0.073554,759,eps=0.0; D=32; failure; phase_tracking
